id,sub_organ_code,ownership_percent,organ_name,type,symbol
22252625,0316114557,0.2,Công ty Cổ Phần Logistics Vĩnh Lộc,công ty liên kết,VNF
22252626,0900989442,0.2296,Công ty CP Dịch Vụ Logistics Thăng Long,công ty liên kết,VNF
22252627,VINATRANSDN,0.2789,Công ty Cổ phần Giao nhận Vận tải Miền Trung,công ty liên kết,VNF
22252628,VNT,0.2487,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,công ty liên kết,VNF
22252605,0108780468,1.0,CÔNG TY TNHH ĐẦU TƯ VNECO,công ty con,VNE
22252606,0313288925,0.51,Công ty Cổ Phần Vneco-rme,công ty con,VNE
22252607,0401801575,1.0,CÔNG TY TNHH MTV VNECO MIỀN TRUNG,công ty con,VNE
22252608,0402056588,0.0,CÔNG TY CỔ PHẦN NĂNG LƯỢNG VNECO,công ty con,VNE
22252609,0402082482,1.0,CÔNG TY TNHH MTV XÂY DỰNG NĂNG LƯỢNG VNECO,công ty con,VNE
22252610,3401132231,1.0,CÔNG TY TNHH ĐIỆN GIÓ THUẬN NHIÊN PHONG 1,công ty con,VNE
22252611,3401157324,1.0,CÔNG TY TNHH ĐIỆN MẶT TRỜI VNECO - HÒA THẮNG,công ty con,VNE
22252612,VE4,0.54728,Công ty Cổ phần Xây dựng điện VNECO4,công ty con,VNE
22252613,VE8,0.559338,Công ty Cổ phần Xây dựng Điện Vneco 8,công ty con,VNE
22252614,VNECO12,0.6573,Công ty Cổ phần Xây Dựng Điện VNECO 12,công ty con,VNE
22252615,VE2,3.5e-05,Công ty Cổ phần Xây dựng Điện VNECO 2,công ty liên kết,VNE
22252616,VNECO10,0.4006,CÔNG TY CỔ PHẦN XÂY DỰNG ĐIỆN VNECO 10,công ty liên kết,VNE
22252603,IPAAM,1.0,Công ty TNHH MTV Quản lý quỹ Đầu tư chứng khoán I.P.A.,công ty con,VND
22252604,IPAG,0.0,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,công ty liên kết,VND
22252579,0104215779,0.51,Công Ty CP Chứng Nhận Và Kiểm Định Vinacontrol,công ty con,VNC
22252580,VECI,0.51,Công ty CP Tư Vấn Và Thẩm Định Môi Trường Vinacontrol,công ty con,VNC
22252581,VNCH,1.0,Công ty TNHH Giám Định Vinacontrol Tp Hcm,công ty con,VNC
22252582,0107010836,0.35,Công ty CP Thẩm Định Giá Vinacontrol,công ty liên kết,VNC
22252305,0109752537,0.51,Công ty TNHH Chăn Nuôi Việt Nhật,công ty con,VLC
22252306,MCMILK,0.593,Công ty Cổ phần Giống bò sữa Mộc Châu,công ty con,VLC
22252307,ANIMEXHP,0.3,Công ty Cổ Phần Đầu Tư Và Xuất Nhập Khẩu Súc Sản Gia Cầm Hải Phòng,công ty liên kết,VLC
22252308,MTPLASTIC,0.4006,Công Ty CP Nhựa Miền Trung,công ty liên kết,VLC
22252309,PETERHAND,0.36,Công ty TNHH Phát Triển Chăn Nuôi Peter Hand Hà Nội,công ty liên kết,VLC
