date,nav_per_unit,short_name
2024-02-07,69280.47,DCDS
2024-02-15,69759.59,DCDS
2024-02-16,69801.21,DCDS
2024-02-19,69884.77,DCDS
2024-02-20,69939.44,DCDS
2024-02-21,69929.59,DCDS
2024-02-22,70274.14,DCDS
2024-02-23,70170.03,DCDS
2024-02-26,69124.66,DCDS
2024-02-27,70444.55,DCDS
2024-02-28,71388.95,DCDS
2024-02-29,71861.42,DCDS
2024-03-01,72191.61,DCDS
2024-03-04,72926.51,DCDS
2024-03-05,73197.03,DCDS
2024-03-06,73613.63,DCDS
2024-03-07,72807.79,DCDS
2024-03-08,73412.84,DCDS
2024-03-11,72219.02,DCDS
2024-03-12,71708.0,DCDS
2024-03-13,72564.35,DCDS
2024-03-14,74700.06,DCDS
2024-03-15,74441.89,DCDS
2024-03-18,74435.41,DCDS
2024-03-19,72779.32,DCDS
2024-03-20,72471.29,DCDS
2024-03-21,73931.16,DCDS
2024-03-22,75110.44,DCDS
2024-03-25,75288.54,DCDS
2024-03-26,74321.0,DCDS
2024-03-27,75257.28,DCDS
2024-03-28,75802.01,DCDS
2024-03-29,76579.99,DCDS
2024-04-01,76252.54,DCDS
2024-04-02,76061.71,DCDS
2024-04-03,76685.3,DCDS
2024-04-04,75355.63,DCDS
2024-04-05,74953.94,DCDS
2024-04-08,73947.08,DCDS
2024-04-09,73309.86,DCDS
2024-04-10,74333.56,DCDS
2024-04-11,73972.99,DCDS
2024-04-12,74241.52,DCDS
2024-04-15,75489.96,DCDS
2024-04-16,71484.54,DCDS
2024-04-17,71715.55,DCDS
2024-04-19,70448.0,DCDS
2024-04-22,69086.72,DCDS
2024-04-23,70220.16,DCDS
2024-04-24,69813.33,DCDS
2024-04-25,72371.79,DCDS
2024-04-26,72496.89,DCDS
2024-05-02,72945.92,DCDS
2024-05-03,73738.3,DCDS
2024-05-06,74186.74,DCDS
2024-05-07,75649.42,DCDS
2024-05-08,76321.67,DCDS
2024-05-09,76499.67,DCDS
2024-05-10,76474.5,DCDS
2024-05-13,76588.15,DCDS
2024-05-14,76119.57,DCDS
2024-05-15,76601.08,DCDS
2024-05-16,77619.71,DCDS
2024-05-17,78458.02,DCDS
2024-05-20,78787.98,DCDS
2024-05-21,78794.41,DCDS
2024-05-22,79250.63,DCDS
2024-05-23,79062.9,DCDS
2024-05-24,79913.28,DCDS
2024-05-27,78087.82,DCDS
2024-05-28,78367.43,DCDS
2024-05-29,79639.74,DCDS
2024-05-30,79001.93,DCDS
2024-05-31,79079.32,DCDS
2024-06-03,79286.75,DCDS
2024-06-04,80283.05,DCDS
2024-06-05,80673.12,DCDS
2024-06-06,80134.84,DCDS
2024-06-07,80309.02,DCDS
2024-06-10,80857.92,DCDS
2024-06-11,81672.79,DCDS
2024-06-12,81745.25,DCDS
2024-06-13,82941.86,DCDS
2024-06-14,83176.13,DCDS
2024-06-17,81655.83,DCDS
2024-06-18,81316.99,DCDS
2024-06-19,81694.05,DCDS
2024-06-20,82161.82,DCDS
2024-06-21,82663.13,DCDS
2024-06-24,82963.51,DCDS
2024-06-25,80456.47,DCDS
2024-06-26,80499.57,DCDS
2024-06-27,80917.3,DCDS
2024-06-28,80756.01,DCDS
2024-07-01,79515.4,DCDS
2024-07-02,80083.33,DCDS
2024-07-03,80747.09,DCDS
2024-07-04,81159.41,DCDS
2024-07-05,81582.79,DCDS
2024-07-08,82118.71,DCDS
2024-07-09,82799.01,DCDS
2024-07-10,83072.35,DCDS
2024-07-11,82253.85,DCDS
2024-07-12,81887.91,DCDS
2024-07-15,81638.39,DCDS
2024-07-16,81556.57,DCDS
2024-07-17,81652.71,DCDS
2024-07-18,80606.58,DCDS
2024-07-19,81030.09,DCDS
2024-07-22,80426.57,DCDS
2024-07-23,79191.98,DCDS
2024-07-24,77593.1,DCDS
2024-07-25,77896.51,DCDS
2024-07-26,77572.64,DCDS
2024-07-29,78376.91,DCDS
2024-07-30,78824.91,DCDS
2024-07-31,78662.62,DCDS
2024-08-01,78713.23,DCDS
2024-08-02,76470.06,DCDS
2024-08-05,77282.3,DCDS
2024-08-06,74109.05,DCDS
2024-08-07,75657.72,DCDS
2024-08-08,75712.49,DCDS
2024-08-09,75078.45,DCDS
2024-08-12,76804.65,DCDS
2024-08-13,77630.49,DCDS
2024-08-14,77647.0,DCDS
2024-08-15,77417.24,DCDS
2024-08-16,76728.95,DCDS
2024-08-19,78815.24,DCDS
2024-08-20,79502.65,DCDS
2024-08-21,80116.15,DCDS
2024-08-22,80939.44,DCDS
2024-08-23,80915.0,DCDS
2024-08-26,80879.37,DCDS
2024-08-27,80139.12,DCDS
2024-08-28,80211.29,DCDS
2024-08-29,80188.33,DCDS
2024-08-30,80254.43,DCDS
2024-09-04,80598.96,DCDS
